time,target,position,error,power
208.35,0.0,-22.8,22.8,-0.3
208.37,0.0,-22.7,22.7,-0.3
208.39,0.0,-22.7,22.7,-0.24
208.41,0.0,-22.8,22.8,-0.3
208.42,0.0,-22.8,22.8,-0.3
208.44,0.0,-22.8,22.8,-0.3
208.46,0.0,-22.8,22.8,-0.3
208.48,0.0,-22.9,22.9,-0.3
208.51,0.0,-22.9,22.9,-0.22
208.53,0.0,-23.0,23.0,-0.29
208.54,0.0,-23.0,23.0,-0.29
208.56,0.0,-23.0,23.0,-0.29
208.59,0.0,-23.1,23.1,-0.29
208.62,0.0,-23.2,23.2,-0.28
208.64,0.0,-23.2,23.2,-0.29
208.67,0.0,-23.3,23.3,-0.06
208.7,0.0,-23.6,23.6,-0.15
208.72,0.0,-23.6,23.6,-0.17
208.73,0.0,-23.6,23.6,-0.17
208.76,0.0,-24.8,24.8,-0.07
208.79,0.0,-24.8,24.8,-0.0
209.02,0.0,-23.7,23.7,0.3
209.04,0.0,-23.7,23.7,0.21
209.13,0.0,-9.4,9.4,0.3
209.15,0.0,-9.4,9.4,-0.19
209.16,0.0,-8.7,8.7,-0.27
209.2,0.0,-8.7,8.7,-0.21
209.22,0.0,-8.8,8.8,-0.21
209.24,0.0,-8.8,8.8,-0.06
209.27,0.0,-9.3,9.3,-0.0
209.3,0.0,-9.3,9.3,0.3
209.32,0.0,-9.3,9.3,0.11
209.34,0.0,-8.3,8.3,0.02
209.36,0.0,-8.3,8.3,0.21
209.47,0.0,2.4,-2.4,-0.27
209.49,0.0,2.4,-2.4,-0.1
209.51,0.0,2.4,-2.4,-0.1
209.53,0.0,2.5,-2.5,-0.12
209.55,0.0,2.3,-2.3,-0.09
209.58,0.0,2.3,-2.3,-0.1
209.6,0.0,2.3,-2.3,-0.1
209.62,0.0,2.3,-2.3,-0.1
209.64,0.0,2.3,-2.3,-0.1
209.66,0.0,2.3,-2.3,-0.1
209.68,0.0,2.3,-2.3,0.06
209.7,0.0,2.2,-2.2,-0.04
209.71,0.0,2.2,-2.2,-0.05
209.74,0.0,2.2,-2.2,-0.04
209.76,0.0,2.2,-2.2,-0.05
209.78,0.0,2.2,-2.2,-0.05
209.82,0.0,2.1,-2.1,-0.04
209.84,0.0,2.1,-2.1,-0.04
209.86,0.0,2.1,-2.1,-0.04
209.88,0.0,2.0,-2.0,-0.04
209.9,0.0,2.0,-2.0,-0.04
209.92,0.0,2.1,-2.1,-0.05
209.94,0.0,2.1,-2.1,-0.04
209.96,0.0,2.0,-2.0,-0.04
209.98,0.0,2.0,-2.0,-0.04
210.0,0.0,2.0,-2.0,-0.04
210.02,0.0,2.0,-2.0,-0.04
210.05,0.0,1.9,-1.9,-0.03
210.06,0.0,1.9,-1.9,-0.04
210.08,0.0,1.9,-1.9,-0.04
210.1,0.0,1.9,-1.9,-0.04
210.12,0.0,1.9,-1.9,-0.04
210.14,0.0,2.0,-2.0,-0.04
210.16,0.0,2.0,-2.0,-0.04
210.18,0.0,1.9,-1.9,-0.03
210.2,0.0,1.9,-1.9,-0.04
210.22,0.0,1.9,-1.9,-0.03
210.24,0.0,1.9,-1.9,-0.04
210.26,0.0,1.9,-1.9,-0.04
210.28,0.0,1.9,-1.9,-0.04
210.3,0.0,1.9,-1.9,-0.04
210.34,0.0,1.9,-1.9,-0.04
210.36,0.0,1.9,-1.9,-0.03
210.39,0.0,1.9,-1.9,-0.04
210.46,0.0,1.8,-1.8,-0.16
210.48,0.0,1.8,-1.8,-0.03
210.5,0.0,1.8,-1.8,-0.03
210.52,0.0,1.8,-1.8,-0.03
210.54,0.0,1.9,-1.9,-0.04
210.56,0.0,1.9,-1.9,-0.04
210.58,0.0,1.9,-1.9,-0.04
210.6,0.0,1.9,-1.9,-0.04
210.62,0.0,1.9,-1.9,-0.04
210.64,0.0,1.8,-1.8,-0.03
210.66,0.0,1.8,-1.8,-0.03
210.68,0.0,1.8,-1.8,-0.04
210.7,0.0,1.8,-1.8,-0.03
210.72,0.0,1.7,-1.7,-0.03
210.74,0.0,1.7,-1.7,-0.03
210.76,0.0,1.7,-1.7,-0.03
210.78,0.0,1.8,-1.8,-0.03
210.8,0.0,1.8,-1.8,-0.03
210.82,0.0,1.7,-1.7,-0.03
210.86,0.0,1.8,-1.8,-0.04
210.88,0.0,1.8,-1.8,-0.03
210.9,0.0,1.8,-1.8,-0.03
210.92,0.0,1.8,-1.8,-0.03
210.94,0.0,1.7,-1.7,-0.03
210.96,0.0,1.7,-1.7,-0.03
210.98,0.0,1.7,-1.7,-0.03
211.0,0.0,1.8,-1.8,-0.04
211.02,0.0,1.8,-1.8,-0.03
211.08,0.0,1.7,-1.7,-0.15
211.1,0.0,1.7,-1.7,-0.03
211.12,0.0,1.8,-1.8,-0.04
211.14,0.0,1.8,-1.8,-0.03
211.16,0.0,1.8,-1.8,-0.03
211.18,0.0,1.7,-1.7,-0.03
211.2,0.0,1.8,-1.8,-0.03
211.22,0.0,1.8,-1.8,-0.03
211.24,0.0,1.8,-1.8,-0.03
211.26,0.0,1.7,-1.7,-0.02
211.28,0.0,1.7,-1.7,-0.03
211.29,0.0,1.7,-1.7,-0.03
211.32,0.0,1.6,-1.6,-0.03
211.34,0.0,1.6,-1.6,-0.03
211.37,0.0,1.6,-1.6,-0.03
211.39,0.0,1.7,-1.7,-0.04
211.41,0.0,1.7,-1.7,-0.03
